"","ObjectID","Proposed.Management.Action","Strategy","Scale","Resources","Data.Requirements","Lead.Organisation","Potential.Partners","Capital.Cost","In.Kind.Contributions","Maintainance.Required","Annual.Cost","Funding.Available","Completion.Date","District","Costing.Certainty","Funding.Shortfall","Funding_Status_TRUE","Shortfall_Captial","Shortfall_In.Kind","Shortfall_Annual","Conditioned_Total_Costings","Combined_Costings","Choosing.the.Costing.Variable","Filtered_Costings_Data"
"709",7420,"B","Install timber baffles to increase depth and slow flows.","1","","","Ayrshire Rivers Trust","Roads Alliance, East Ayrshire Council, SEPA",NA,NA,"Yes",NA,"Unfunded","Within 5 Years","Irvine and Garnock","Very Confident",8000,"Unfunded","No","No","No",8000,0,8000,8000
"711",3043,"F","Develop riparian woodland restoration plan which evaluates and prioritises opportunities. Engagement with existing Forest Management Plan process to ensure benefits to aquatic environments.","4","Forest Management Plan","Forest Management Plan","NDFSB","FLS, Woodlands Trust, Trees for Life, Landowners, SSE, RSPB",0,0,"Yes",50000,"Partially Funded","Within 5 Years","Ness","Very Confident",0,"Funded","No","No","No",50000,50000,50000,50000
"713",7433,"B","Work with SEPA and owner of structure to assess and design easement options","1","","","SEPA","Ayrshire Rivers Trust, owner",5000,NA,"No",NA,"Unfunded","Within 5 Years","Irvine and Garnock","Very Confident",5000,"Unfunded","Yes","No","No",NA,5000,5000,5000
"719",3051,"","Deliver education projects","5","","","NDSFB","",0,0,"No",6000,"Funding Secured","","Ness","Very Confident",0,"Funded","No","No","No",6000,6000,6000,6000
"721",7482,"Q","Protect the instream habitat by planting broadleaf trees to provide shade. Remove conifer regeneration","1","","","Ayrshire Rivers Trust","Landowner FLS and DSFB",25000,NA,"Yes",NA,"Unfunded","More than 5 Years","Stinchar","Very Confident",25000,"Unfunded","Yes","No","No",NA,25000,25000,25000
"731",7483,"G","Stratigic removal of trees or branches. If confier plantations consult with forest land scotland. Plant a variety of native broadleaf trees and shrubs.","1","","","Ayrshire Rivers Trust","Landowner FLS and DSFB",5000,NA,"Yes",NA,"Unfunded","More than 5 Years","Stinchar","Very Confident",5000,"Unfunded","Yes","No","No",NA,5000,5000,5000
"735",7623,"J","Conduct bird counts using staff and volunteers at key times of the year.  Apply to NatureScot for a licence to shoot a small number of birds as an aid to scaring.  Support smolt shepherding using volunteers during the Spring smolt migration.","1","Piscivorous bird diet study from North Esk","Monthly bird counts","Esk DSFB","Volunteer Ghillies and anglers",0,0,"No",5000,"Funding Secured","Annual","Esk","Very Confident",0,"Funded","No","No","No",5000,5000,5000,5000
"736",7646,"B","Investigate the Pipe culvert at Kenstey Farm. Design and construct a solution to improve fish migration including timber baffle installation.","1","","","Ayrshire Rivers Trust","Landowners, SEPA and DSFB",7000,0,"Yes",1000,"Funding Secured","Within 5 Years","Ayr","Very Confident",8000,"Funded","No","No","No",16000,8000,16000,16000
"737",3069,"L","OHFT involvement with NEPS/NIPS and other monitoring projects. Report all known escapes and hold operators accountable. Where ever and whenever possible trap and remove escapes in line with local farm escape plans.","5","","","OHFT","Fish Health Inspectorate

Marine Scotland Science",0,0,"Yes",0,"Unfunded","Annual","Western Isles","Very Confident",15748,"Unfunded","No","No","No",15748,0,15748,15748
"742",3074,"E","Confidential","5","","","WIDSFB","Local estates and fisheries",0,0,"No",0,"Unfunded","Annual","Western Isles","Very Confident",0,"Unfunded","No","No","No",NA,0,0,NA
"743",3075,"O","Take immediate action if Pink Salmon are present to detroy their Redds and remove adult fish using any available and legal method.","5","","","OHFT","WIDSFB",0,0,"Yes",0,"Unfunded","More than 5 Years","Western Isles","Very Confident",920,"Unfunded","No","No","No",920,0,920,920
"746",7655,"F","Remove small weir, install baffles and provide stock proof fencing, address river bank erosion through green engineering.","1","","","Ayrshire Rivers Trust","Landowner and DSFB",28500,0,"Yes",1000,"Funding Secured","Within 1 Year","Doon","Very Confident",0,"Funded","No","No","No",29500,29500,29500,29500
"782",3114,"J","Annual licence for shooting and scaring to minimise economic damage to the fishery. Engagement in the review process as part of the Salmon Implementation Plan. Regular bird counts","5","https://arcg.is/0iiC9H","Regular local and national bird counts. Accurate, up-to-date dietary analysis data","The River Tweed Commission","BTO, CEH, MSS, GWCT",0,0,"Yes",16000,"Unfunded","Annual","Tweed","Very Confident",0,"Unfunded","No","No","No",NA,16000,16000,16000
"783",7659,"Q","Provide stock proof fencing to protect buffers, manage grazing and plant them with locally sourced broadleaf trees.","1","","","Ayrshire Rivers Trust","Landowner and DSFB",13800,0,"No",NA,"Partially Funded","More than 5 Years","Doon","Very Confident",6900,"Funded","No","No","No",20700,13800,20700,20700
"785",7660,"B","Electrofishing assessments, considering options for bridge replacement, design solution if necessary.","1","","","Ayrshire Rivers Trust","Landowner, SEPA, DSFB",3500,0,"No",NA,"Unfunded","Within 5 Years","Doon","Very Confident",3500,"Unfunded","Yes","No","No",NA,3500,3500,3500
"786",3118,"Q","Download twice a year, calibrate loggers and change batteries","5","https://www.gov.scot/publications/scotland-river-temperature-monitoring-network-srtmn/","","Tweed Foundation","Marine Scotland Science",0,0,"Yes",4000,"Partially Funded","More than 5 Years","Tweed","Very Confident",0,"Funded","No","No","No",4000,4000,4000,4000
"787",7679,"F","Stabilise eroding river banks using green engineering techniques and  locally sourced materials. Ensure stock proof fencing protects the banks and plant broadleaf trees.","1","","","Ayrshire Rivers Trust","Landowners, DSFB, AECS, RSPB, Local Authority",70000,0,"Yes",2500,"Funding Secured","Within 1 Year","Girvan","Very Confident",0,"Funded","No","No","No",72500,72500,72500,72500
"799",3131,"E","A combination of focussing on areas with the highest numbers of fish, while also checking less important areas. Monitoring potential illegal ways of getting poached Salmon into legal markets","5","","","River Tweed Commission","Anglers, boatmen, NIFCA, Scottish Government",0,0,"No",207000,"Unfunded","Annual","Tweed","Very Confident",0,"Unfunded","No","No","No",NA,207000,207000,207000
"801",3133,"P","Collect data on an annual basis. Share ef data with Marine Scotland Science for analysis","4","","Fish counter, electro-fishing, smolt trap","Tweed Foundation","Marine Scotland Science, Missing Salmon Alliance",50000,0,"Yes",31400,"Unfunded","Annual","Tweed","Very Confident",0,"Unfunded","No","No","No",NA,81400,81400,81400
"802",3134,"E","Contracting of local skipper and boat to undertake regular sea patrols with NDSFB Bailiff on board to monitor and act as deterrent.","5","","Post patrols summary feedback provided after each patrol","Northern DSFB","Local Skipper",12000,1000,"No",13000,"Funding Secured","Annual","Northern","Very Confident",0,"Funded","No","No","No",26000,26000,26000,26000
"803",3135,"L","Continued monitoring and maintenance of temperature loggers, and analysis of data","4","Scotland River Temperature Monitoring Network (SRTMN) - gov.scot (www.gov.scot)","Results downloaded from the temperatures loggers located in the River Naver and River Halladale catchment areas","Northern DSFB","Marine Scotland",5000,500,"Yes",1750,"Funding Secured","Annual","Northern","Very Confident",0,"Funded","No","No","No",7250,7250,7250,7250
"804",3136,"L","Continued monitoring of incidences of disease and effect on salmon stocks through electrofishing","5","","Fish Disease app","Northern DSFB","FMS, Fish Health Inspectorate",0,0,"No",0,"Funding Secured","Annual","Northern","Very Confident",0,"Funded","No","No","No",0,0,0,NA
"806",3138,"J","Continue to undertake regular bird counts and seal counts to demonstrate the need for lethal action as a last resort","5","MS-LOT","Bird count data, seal count data","Individual rivers","MS-LOT",0,500,"No",500,"Funding Secured","Annual","Northern","Very Confident",0,"Funded","No","No","No",1000,1000,1000,1000
"810",7680,"Q","Provide stock proof fencing to protect buffers and plant native broadleaf trees.","1","","","Ayrshire Rivers Trust","Landowners, DSFB",37280,0,"No",NA,"Unfunded","More than 5 Years","Girvan","Very Confident",28080,"Unfunded","No","No","No",65360,37280,65360,65360
"811",3143,"L","Continue to conduct annual surveys","4","NEPS","EF Data","Individual rivers","NDSFB/FCRT",5000,5000,"Yes",6000,"Unfunded","Annual","Northern","Very Confident",6000,"Unfunded","No","No","Yes",NA,16000,16000,16000
"813",7681,"Q","Plant native broadleaf trees with stakes and guards. Remove tree guards once trees have reached sufficient size","1","","","Ayrshire Rivers Trust","Landowners, DSFB",2800,0,"No",NA,"Unfunded","More than 5 Years","Girvan","Very Confident",2800,"Unfunded","Yes","No","No",NA,2800,2800,2800
"814",3146,"H","Response informed by current science and best management practice. Taking advice from MSS and Nature Scot. The Board will continue to provide guidance through the planning system and liaise with developers to minimise disturbance to fish and damage to their habitat. We insist that works are done out with spawning/emergence time. Press for and advise on national fish-friendly guidance to strengthen the current regulatory requirements and assist in local issues. The Board will highlight where licensed works have caused an impact in the past to insist on a stronger regulatory approach in future. This will be done working with FMS and SEPA. Press planners for monitoring before and after activities cease to understand impacts, risks and difficulties better, to learn lessons and inform regulators. Promote green engineering options for bank protection, modification and repair works to developers, owners and regulators.","5","Historical Electrofishing data, Redd counting, FWPM surveys,Temperature data (SRTMN), Smolt tracking reports, Habitat surveys, Invertebrate surveys, INNS surveys","","Don DSFB","RDonT, Nature Scot, SEPA, FMS, MSS, Developers, Local Authorities",0,2000,"No",0,"Unfunded","Annual","Don","Very Confident",0,"Unfunded","No","No","No",NA,2000,2000,2000
"815",3147,"N","Distribute best practice guidance through multiple media platforms, promote instances of best practice across the District by showcasing good examples. Catch and release is mandatory on Cat 3 river but measures will continue to be promoted through conservation code, and any non-compliance monitored. Produce advisory communications to explain impacts of fish handling and fish stress. Emphasize messages during exceptionally hot or dry periods when disease risk is much higher.","5","Links to Fish Handling Best Practice on website, FMS outputs",NA,"Don DSFB","FMS,",0,500,"No",0,"Unfunded","Annual","Don","Very Confident",0,"Unfunded","No","No","No",NA,500,500,500
"816",3148,"E","Continue to build intelligence to guide timings and locations of patrols. Detection of netting gangs will be worked on a local and national basis. Develop a phone app reporting system and continue to share nationally to help coordinate policing. Further develop the use of cameras and recording devices to help collect evidence of illegal activity, and support proprietors to implement such securities. Continue to work with Police Scotland and The Crown Office and Procurator Fiscal Service to highlight the damage caused by poaching and how the Salmon Act (2003) is best applied. Represent the Don DSFB in the NE Partnership Against Wildlife Crime/Rural Crime Partnership. The Dee and Don Fisheries Officers will work in partnership to provide enhanced coverage and flexibility across both rivers and to deal with larger poaching groups. Target social media and press communications with anglers and the general public to encourage reporting of information. We will promote what to look out for, how reports can be made to us, and reassurance of how we use this information. Highlight through social media and the press, the damage caused by illegal fishing and the penalties that can result.","5","FMS Film Series - Crimes Against Salmon",NA,"Don DSFB","Police Scotland, FMS, other Salmon Fishery Boards, NE PAW and Rural Crmie Partnerships",500,55080,"No",0,"Unfunded","Annual","Don","Very Confident",25000,"Unfunded","No","No","No",80580,55580,80580,80580
"817",7682,"Q","Provide stock proof fencing to protect buffers and allow natural regeneration of broadleaf trees.","1","","","Ayrshire Rivers Trust","Landowners, DSFB",20780,0,"No",NA,"Unfunded","More than 5 Years","Girvan","Very Confident",20780,"Unfunded","Yes","No","No",NA,20780,20780,20780
"821",7683,"Q","Provide stock proof fencing to protect buffers and plant them with locally sourced broadleaf trees.","1","","","Ayrshire Rivers Trust","Landowners, DSFB",25640,0,"No",NA,"Unfunded","More than 5 Years","Girvan","Very Confident",25640,"Unfunded","Yes","No","No",NA,25640,25640,25640
"822",7684,"B","Improve access into the burn by removing fallen tree and vegetation build up to create a more defined enterance into the burn.","1","","","Ayrshire Rivers Trust","Landowners, DSFB",NA,0,"Yes",500,"Funding Secured","Annual","Girvan","Very Confident",0,"Funded","No","No","No",500,500,500,500
"840",3172,"N","Maintain and expand existing control programs for INNs plants and mink","5","https://www.invasivespecies.scot/","Data on location and sitribution of INNs","FNLRT","SISI, NDSFB, NatureScot, Community Groups, Landowners",20000,5000,"Yes",25000,"Funding Secured","Within 3 Years","Nairn","Very Confident",0,"Funded","No","No","No",50000,50000,50000,50000
"863",3195,"O","Identify outbreaks and collect samples, provide advice and guidance to contain spread","5","","Data on infected fish, pathogens, disease types, envirnmental data","FNLRT","Local DSFB, Landowners, MS,  General Public",10000,1000,"No",4000,"Funding Secured","Within 3 Years","Findhorn","Very Confident",0,"Funded","No","No","No",15000,15000,15000,15000
"864",3196,"N","Maintain and expand existing control programs for INNs plants and mink","5","https://www.invasivespecies.scot/","Data on location and sitribution of INNs","FNLRT","SISI, NatureScot, Community Groups, Landowners, Local DSFBs",20000,5000,"Yes",25000,"Funding Secured","Within 2 Years","Findhorn","Very Confident",0,"Funded","No","No","No",50000,50000,50000,50000
"866",3198,"J","Conduct regular bird couts and apply for licence to control if necessary","4","","Quarterly counts of birds along the whole river.","Local DSFB","FNLRT, Gamekeepers, Angling Associations, Landowners",0,1500,"Yes",2500,"Funding Secured","Annual","Findhorn","Very Confident",0,"Funded","No","No","No",4000,4000,4000,4000
"887",3219,"N","Maintain and expand existing control programs for INNs plants and mink","5","https://www.invasivespecies.scot/","Data on location and distribution of INNs","FNLRT","SISI, NatureScot, Community Groups, Landowners, DSFB, FMS",0,0,"Yes",40000,"Funding Secured","Within 3 Years","Lossie","Very Confident",10000,"Funded","No","No","No",50000,40000,50000,50000
"916",3248,"O","Annual eradication effort at specific times of the year","4","Reports to LLTNP","","Loch Lomond Fisheries Trust","Landowners / Loch Lomond and Trossachs National Park /  Loch Lomond Angling Improvement Association / Local community councils / Local outdoor groups /",15000,0,"Yes",15000,"Partially Funded","More than 5 Years","Loch Lomond","Very Confident",15000,"Funded","Yes","No","Yes",NA,30000,30000,30000
"918",7685,"B","Improve access into the burn by removing fallen trees that block passage.","1","","","Ayrshire Rivers Trust","Landowners, DSFB",NA,0,"Yes",500,"Funding Secured","Annual","Girvan","Very Confident",0,"Funded","No","No","No",500,500,500,500
"922",7687,"G","Stratigic removal of trees or branches of confier plantations consult with landowner.","1","","","Ayrshire Rivers Trust","Landowners, DSFB",2000,0,"Yes",NA,"Unfunded","Within 5 Years","Girvan","Very Confident",2000,"Unfunded","Yes","No","No",NA,2000,2000,2000
"925",3257,"O","Annual eradication effort at specific times of the year","4","Reports to LLTNP","","Loch Lomond Fisheries Trust","Landowners / Loch Lomond and Trossachs National Park /  Loch Lomond Angling Improvement Association / Local community councils / Local outdoor groups /",15000,0,"Yes",15000,"Partially Funded","More than 5 Years","Loch Lomond","Very Confident",15000,"Funded","Yes","No","Yes",NA,30000,30000,30000
"944",3536,"N","Since 2002 the Clyde River Foundation (CRF) has engaged with 441 (78.5%) of all primary schools in the catchment = 43,206 children through our ""Clyde in the classroom"" project. The CRF has also taken 6563 children from 280 classes into the river during ou","4","None","None","Clyde River Foundation","Local Authorities, Primary Schools, Secondary Schools,  Local angling clubs and associations, General Public, Crown Estate Scotland, Glasgow Airport.",25000,25000,"Yes",50000,"Partially Funded","Within 5 Years","Clyde","Very Confident",75000,"Funded","No","No","No",175000,1e+05,175000,175000
"946",7689,"G","Provide stock proof fencing to protect buffers and plant them with locally sourced broadleaf trees. Add large woody debris to create instream diversity","1","","","Ayrshire Rivers Trust","Landowners, DSFB",7800,0,"Yes",NA,"Unfunded","More than 5 Years","Girvan","Very Confident",7800,"Unfunded","Yes","No","No",NA,7800,7800,7800
"947",7690,"B","Investigate the barrier and restore fish passage if possible.","1","","","Ayrshire Rivers Trust","Landowners, DSFB, SEPA",2000,0,"No",NA,"Unfunded","Within 2 Years","Girvan","Very Confident",2000,"Unfunded","Yes","No","No",NA,2000,2000,2000
"949",7691,"F","Visit upstream areas, encourage flow and prevention of sediment build up. Where required provide stock proof fencing to protect buffers, manage grazing and plant them with locally sourced broadleaf trees. Install a bridge where main crossing ford  is curr","1","","","Ayrshire Rivers Trust","Landowners, DSFB",24650,0,"No",NA,"Unfunded","Within 5 Years","Girvan","Very Confident",10000,"Unfunded","No","No","No",34650,24650,34650,34650
"950",7693,"B","Investigate the barrier and restore fish passage if possible. Design and construct a solution to improve fish migration including timber baffle installation. Manage levels of large woody debris to prevent blockages.","1","","","Ayrshire Rivers Trust","Landowners, DSFB",10000,0,"Yes",NA,"Unfunded","Within 2 Years","Girvan","Very Confident",10000,"Unfunded","Yes","No","No",NA,10000,10000,10000
"951",7179,"G","Provide stock proof fencing to protect buffers, manage grazing and plant them with locally sourced broadleaf trees. Removal of plastic tree guards to be recylced once trees have reached sufficient size.","4","","","Ayrshire Rivers Trust","Landowner and DSFB",89860,NA,"No",NA,"Unfunded","More than 5 Years","Ayr","Very Confident",89860,"Unfunded","Yes","No","No",NA,89860,89860,89860
"952",7180,"G","Provide stock proof fencing to protect buffers, manage grazing and plant them with locally sourced broadleaf trees. Removal of plastic tree guards to be recylced once trees have reached sufficient size.","4","","","Ayrshire Rivers Trust","Landowner and DSFB",32605,NA,"No",NA,"Unfunded","More than 5 Years","Ayr","Very Confident",32605,"Unfunded","Yes","No","No",NA,32605,32605,32605
"953",7181,"G","Provide stock proof fencing to protect buffers, manage grazing and plant them with locally sourced broadleaf trees. Removal of plastic tree guards to be recylced once trees have reached sufficient size.","4","","","Ayrshire Rivers Trust","Landowner and DSFB",55520,NA,"No",NA,"Unfunded","More than 5 Years","Ayr","Very Confident",55520,"Unfunded","Yes","No","No",NA,55520,55520,55520
"954",7182,"G","Provide stock proof fencing to protect buffers, manage grazing and plant them with locally sourced broadleaf trees. Removal of plastic tree guards to be recylced once trees have reached sufficient size.","4","","","Ayrshire Rivers Trust","Landowner and DSFB",55863,NA,"No",NA,"Unfunded","More than 5 Years","Ayr","Very Confident",55863,"Unfunded","Yes","No","No",NA,55863,55863,55863
"955",7183,"G","Provide stock proof fencing to protect buffers, manage grazing and plant them with locally sourced broadleaf trees. Removal of plastic tree guards to be recylced once trees have reached sufficient size.","4","","","Ayrshire Rivers Trust","Landowner and DSFB",42400,NA,"No",NA,"Unfunded","More than 5 Years","Ayr","Very Confident",42400,"Unfunded","Yes","No","No",NA,42400,42400,42400
"956",7184,"G","Provide stock proof fencing to protect buffers, manage grazing and plant them with locally sourced broadleaf trees. Removal of plastic tree guards to be recylced once trees have reached sufficient size.","4","","","Ayrshire Rivers Trust","Landowner and DSFB",31480,NA,"No",NA,"Unfunded","More than 5 Years","Ayr","Very Confident",31480,"Unfunded","Yes","No","No",NA,31480,31480,31480
"957",7185,"G","Provide stock proof fencing to protect buffers, manage grazing and plant them with locally sourced broadleaf trees. Removal of plastic tree guards to be recylced once trees have reached sufficient size.","4","","","Ayrshire Rivers Trust","Landowner and DSFB",299360,NA,"No",NA,"Unfunded","More than 5 Years","Ayr","Very Confident",299360,"Unfunded","Yes","No","No",NA,299360,299360,299360
"958",7186,"G","Provide stock proof fencing to protect buffers, manage grazing and plant them with locally sourced broadleaf trees. Removal of plastic tree guards to be recylced once trees have reached sufficient size.","4","","","Ayrshire Rivers Trust","Landowner and DSFB",57080,NA,"No",NA,"Unfunded","More than 5 Years","Ayr","Very Confident",57080,"Unfunded","Yes","No","No",NA,57080,57080,57080
"959",7187,"G","Provide stock proof fencing to protect buffers, manage grazing and plant them with locally sourced broadleaf trees. Removal of plastic tree guards to be recylced once trees have reached sufficient size.","4","","","Ayrshire Rivers Trust","Landowner and DSFB",195969,NA,"No",NA,"Unfunded","More than 5 Years","Ayr","Very Confident",195969,"Unfunded","Yes","No","No",NA,195969,195969,195969
"960",7188,"G","Provide stock proof fencing to protect buffers, manage grazing and plant them with locally sourced broadleaf trees. Removal of plastic tree guards to be recylced once trees have reached sufficient size.","4","","","Ayrshire Rivers Trust","Landowner and DSFB",72000,NA,"No",NA,"Unfunded","More than 5 Years","Ayr","Very Confident",72000,"Unfunded","Yes","No","No",NA,72000,72000,72000
"961",7189,"G","Provide stock proof fencing to protect buffers, manage grazing and plant them with locally sourced broadleaf trees. Removal of plastic tree guards to be recylced once trees have reached sufficient size.","4","","","Ayrshire Rivers Trust","Landowner and DSFB",72640,NA,"No",NA,"Unfunded","More than 5 Years","Ayr","Very Confident",72640,"Unfunded","Yes","No","No",NA,72640,72640,72640
"962",7190,"G","Provide stock proof fencing to protect buffers, manage grazing and plant them with locally sourced broadleaf trees. Removal of plastic tree guards to be recylced once trees have reached sufficient size.","4","","","Ayrshire Rivers Trust","Landowner and DSFB",169600,NA,"No",NA,"Unfunded","More than 5 Years","Ayr","Very Confident",169600,"Unfunded","Yes","No","No",NA,169600,169600,169600
"963",7191,"G","Provide stock proof fencing to protect buffers, manage grazing and plant them with locally sourced broadleaf trees. Removal of plastic tree guards to be recylced once trees have reached sufficient size.","4","","","Ayrshire Rivers Trust","Landowner and DSFB",26080,NA,"No",NA,"Unfunded","More than 5 Years","Ayr","Very Confident",26080,"Unfunded","Yes","No","No",NA,26080,26080,26080
"964",7192,"G","Provide stock proof fencing to protect buffers, manage grazing and plant them with locally sourced broadleaf trees. Removal of plastic tree guards to be recylced once trees have reached sufficient size.","4","","","Ayrshire Rivers Trust","Landowner and DSFB",88880,NA,"No",NA,"Unfunded","More than 5 Years","Ayr","Very Confident",88880,"Unfunded","Yes","No","No",NA,88880,88880,88880
"965",7193,"G","Provide stock proof fencing to protect buffers, manage grazing and plant them with locally sourced broadleaf trees. Removal of plastic tree guards to be recylced once trees have reached sufficient size.","4","","","Ayrshire Rivers Trust","Landowner and DSFB",37120,NA,"No",NA,"Unfunded","More than 5 Years","Ayr","Very Confident",37120,"Unfunded","Yes","No","No",NA,37120,37120,37120
"966",7194,"G","Provide stock proof fencing to protect buffers, manage grazing and plant them with locally sourced broadleaf trees. Removal of plastic tree guards to be recylced once trees have reached sufficient size.","4","","","Ayrshire Rivers Trust","Landowner and DSFB",69522,NA,"No",NA,"Unfunded","More than 5 Years","Ayr","Very Confident",69522,"Unfunded","Yes","No","No",NA,69522,69522,69522
"967",7195,"G","Provide stock proof fencing to protect buffers, manage grazing and plant them with locally sourced broadleaf trees. Removal of plastic tree guards to be recylced once trees have reached sufficient size.","4","","","Ayrshire Rivers Trust","Landowner and DSFB",146650,NA,"No",NA,"Unfunded","More than 5 Years","Ayr","Very Confident",146650,"Unfunded","Yes","No","No",NA,146650,146650,146650
"968",7196,"Q","Provide stock proof fencing to protect buffers, manage grazing and plant them with locally sourced broadleaf trees. Removal of plastic tree guards to be recylced once trees have reached sufficient size.","4","","","Ayrshire Rivers Trust","Landowner and DSFB",142000,NA,"No",NA,"Unfunded","More than 5 Years","Ayr","Very Confident",142000,"Unfunded","Yes","No","No",NA,142000,142000,142000
"969",7197,"G","Provide stock proof fencing to protect buffers, manage grazing and plant them with locally sourced broadleaf trees. Removal of plastic tree guards to be recylced once trees have reached sufficient size.","4","","","Ayrshire Rivers Trust","Landowner and DSFB",79260,NA,"No",NA,"Unfunded","More than 5 Years","Ayr","Very Confident",79260,"Unfunded","Yes","No","No",NA,79260,79260,79260
"970",7198,"G","Provide stock proof fencing to protect buffers, manage grazing and plant them with locally sourced broadleaf trees. Removal of plastic tree guards to be recylced once trees have reached sufficient size.","4","","","Ayrshire Rivers Trust","Landowner and DSFB",10110,NA,"No",NA,"Unfunded","More than 5 Years","Ayr","Very Confident",10110,"Unfunded","Yes","No","No",NA,10110,10110,10110
"971",7203,"F","Provide stock proof fencing to protect buffers, manage grazing and plant them with locally sourced broadleaf trees. Removal of plastic tree guards to be recylced once trees have reached sufficient size.","4","","","Ayrshire Rivers Trust","Landowners, DSFB, AECS, RSPB, Local Authority",95200,NA,"No",NA,"Unfunded","More than 5 Years","Ayr","Very Confident",95200,"Unfunded","Yes","No","No",NA,95200,95200,95200
"978",7694,"F","Targeted coppicing/thinning of riparian trees. Install fencing where required.","1","","","Ayrshire Rivers Trust","Landowners, DSFB",68000,0,"No",NA,"Unfunded","Within 5 Years","Girvan","Very Confident",34160,"Unfunded","No","No","No",102160,68000,102160,102160
"983",7219,"E","Secure volunteer baliffs and train to IFM standards. Recruit and train river watchers. ","5","","","DSFB","Ayrshire Rivers Trust",2500,NA,"Yes",2500,"Unfunded","Annual","Ayr","Very Confident",5000,"Unfunded","No","No","No",10000,5000,10000,10000
"985",7221,"L","Electrofishing surveys, habitat surveysand barrier assessments etc.","5","","","Ayrshire Rivers Trust","DSFB",NA,NA,"Yes",8500,"Funding Secured","Annual","Ayr","Very Confident",2000,"Funded","No","No","No",10500,8500,10500,10500
"990",7226,"H","Employment of a Catchment officer to monitor spread of INNS, Agricultural pollution and other incidents. Provide training to identify ","4","","","Ayrhsire Rivers Trust","DFSB",NA,NA,"No",20000,"Unfunded","More than 5 Years","Ayr","Very Confident",20000,"Unfunded","No","No","Yes",NA,20000,20000,20000
"994",7248,"Q","Alternative tree planting strategy as a compromise for the location. Planting of  locally sourced broadleaf trees with guards and heavy duty stakes to protect from elements and herbivore activity as no fenced will be installed. Removal and recycling of plastic tree guards when trees reach a sufficient height. ","5","","","Ayrshire Rivers Trust","Landowner and DSFB",26400,NA,"Yes",NA,"Unfunded","More than 5 Years","Doon","Very Confident",26400,"Unfunded","Yes","No","No",NA,26400,26400,26400
"995",7249,"Q","Alternative tree planting strategy as a compromise for the location. Planting of  locally sourced broadleaf trees with guards and heavy duty stakes. Removal and recylcing of tree guards once trees reach a sufficient height.","5","","","Ayrshire Rivers Trust","Landowner and DSFB",16800,NA,"Yes",NA,"Unfunded","More than 5 Years","Doon","Very Confident",16800,"Unfunded","Yes","No","No",NA,16800,16800,16800
"996",7250,"Q","Provide stock proof fencing to protect buffers, manage grazing and plant them with locally sourced broadleaf trees. Removal of plastic tree guards once trees at appropriate height.","5","","","Ayrshire Rivers Trust","Landowner and DSFB",11536,NA,"No",NA,"Unfunded","More than 5 Years","Doon","Very Confident",11936,"Unfunded","No","No","No",23472,11536,23472,23472
"997",7251,"Q","Provide stock proof fencing to protect buffers, manage grazing and plant them with locally sourced broadleaf trees. Team of 3 removing pike by electrofishing once a year.Removal and recycling of plastic tree guards when trees reach a sufficient height. ","5","","","Ayrshire Rivers Trust","Landowner and DSFB",20800,NA,"No",1200,"Unfunded","More than 5 Years","Doon","Very Confident",20800,"Unfunded","Yes","No","No",NA,22000,22000,22000
"1000",7695,"F","Continue to monitor fish and invertebrate populations. Provide stock proof fencing to protect buffers, manage grazing and plant them with locally sourced broadleaf trees.","1","","","Ayrshire Rivers Trust","Landowners, DSFB",10800,0,"Yes",NA,"Unfunded","More than 5 Years","Girvan","Very Confident",10800,"Unfunded","Yes","No","No",NA,10800,10800,10800
"1003",7275,"D","Carry out eDNA sampling, hold discussions with all relevent parties with updates on situation when required.","4","","","Ayrshire Rivers Trust","Galloway Fisheries trust, DRAX, DSFB",10000,NA,"Yes",1000,"Unfunded","Annual","Doon","Very Confident",0,"Unfunded","No","No","No",NA,11000,11000,11000
"1014",7717,"B","Improve access at weir by investigating the access and designing and constucting a solution to improve fish passage e.g. timber baffles","1","","SNIFFER barrier assessment or assessment of water flow/velocities over barrier ","Ayrshire Rivers Trust","Landowner, SEPA, DSFB",6000,0,"Yes",500,"Unfunded","Within 5 Years","Stinchar","Very Confident",6500,"Unfunded","No","No","No",13000,6500,13000,13000
"1015",7720,"B","Investigate migration issues at Pinbraid Fishery","1","","","Ayrshire Rivers Trust","Landowner and DSFB",5000,0,"No",NA,"Unfunded","Within 5 Years","Stinchar","Very Confident",5000,"Unfunded","Yes","No","No",NA,5000,5000,5000
"1016",7724,"Q","Provide stock proof fencing to protect buffers and plant them with locally sourced broadleaf trees.","1","","","Ayrshire Rivers Trust","Landowner and DSFB",10912,0,"No",NA,"Unfunded","More than 5 Years","Stinchar","Very Confident",10912,"Unfunded","Yes","No","No",NA,10912,10912,10912
"1017",7726,"Q","Plant native broadleaf trees with heavy duty stakes and guards. Remove guards once trees have reached a sufficent size.","1","","","Ayrshire Rivers Trust","Landowner and DSFB",89600,0,"No",NA,"Unfunded","More than 5 Years","Stinchar","Very Confident",89600,"Unfunded","Yes","No","No",NA,89600,89600,89600
"1018",7728,"Q","Plant native broadleaf trees with heavy duty stakes and guards. Remove guards once trees have reached a sufficent size.","1","","","Ayrshire Rivers Trust","Landowner and DSFB",22400,0,"No",NA,"Unfunded","More than 5 Years","Stinchar","Very Confident",22400,"Unfunded","Yes","No","No",NA,22400,22400,22400
